29211 3
48856 -1 0.0
3006 -1 0.0
48646 754 0.7915823525915446
9653 751 0.7718886899077902
22414 645 1.0
22412 768 1.0
30154 -1 0.0
51241 -1 0.0
51240 -1 0.0
18198 524 0.8664369679259567
1816 685 1.0
32501 725 1.0
34622 675 0.9506841637334889
48598 771 0.8715367143017222
1903047 698 1.0
1903046 731 1.0
14070 378 0.9229276530094637
1901566 579 0.6505404385316409
9987 656 0.990779289328821
16032 128 0.8644896602450554
1901700 -1 0.0
50663 37 0.9222918085409986
6464 513 0.9389259417493753
17144 -1 0.0
31328 -1 0.0
9968 701 1.0
65003 665 0.9942014090613043
19221 -1 0.0
9967 700 1.0
9966 693 1.0
1901361 -1 0.0
48523 -1 0.0
42737 -1 0.0
22402 730 1.0
22607 732 1.0
48468 762 1.0
1901362 -1 0.0
65008 406 0.9765879101210544
1901360 -1 0.0
1901701 -1 0.0
31327 640 1.0
9886 739 0.9794947351892949
51093 -1 0.0
3002 744 1.0
71407 -1 0.0
48522 -1 0.0
31326 -1 0.0
7165 551 0.9985331159319256
2000026 -1 0.0
51094 -1 0.0
48857 107 1.0
32787 568 1.0
35690 -1 0.0
6259 170 0.9811006393111776
18130 -1 0.0
48513 755 0.9251367679528579
7186 550 1.0
45165 756 1.0
46483 -1 0.0
22618 160 0.920229468362393
10243 -1 0.0
18205 519 1.0
16477 539 0.9674567356018401
50794 -1 0.0
48731 735 1.0
8283 742 1.0
42493 -1 0.0
1901564 -1 0.0
1819 670 1.0
6790 533 0.7377494218466143
71705 427 0.927237310103743
48585 565 0.960556667301257
1817 -1 0.0
48532 764 1.0
48584 -1 0.0
15893 -1 0.0
46700 -1 0.0
18209 524 0.7555135199396084
1818 -1 0.0
32602 -1 0.0
72330 -1 0.0
72329 -1 0.0
9888 772 1.0
9887 769 1.0
7166 548 0.9869294909056622
16043 644 1.0
48519 666 1.0
7267 728 1.0
61024 620 0.9508504988240963
19439 -1 0.0
42089 579 0.6525634419792683
71417 -1 0.0
71702 427 0.9019057461494137
51051 -1 0.0
70925 668 1.0
51050 564 1.0
48608 757 1.0
42035 603 1.0
31323 -1 0.0
48732 759 1.0
42108 603 1.0
42036 603 1.0
6996 669 1.0
45944 312 1.0
10033 -1 0.0
35295 -1 0.0
22603 625 0.8660253221844083
51130 629 0.9688483448672256
16999 -1 0.0
7610 713 0.9355454887503558
34097 298 1.0
51649 281 1.0
2000027 631 0.9838002095135645
35738 30 0.8661284204465107
1990542 422 1.0
62014 -1 0.0
51128 629 0.9533877665200207
18958 -1 0.0
51239 -1 0.0
71345 298 0.9975548825602236
43254 461 1.0
1708 748 0.9731650417246002
110110 650 1.0
62013 -1 0.0
31324 618 1.0
48518 -1 0.0
71695 677 1.0
