4183 3
32991 78 0.5188978723906776
110165 -1 0.0
98797 71 0.5356364914822991
98796 69 0.46473695182994124
1902494 -1 0.0
90575 -1 0.0
1990234 -1 0.0
1990204 70 0.5615826806674572
98802 15 0.5883774065598009
43232 75 0.5508911713833959
43231 64 0.5140723255657308
8305 53 0.6854551441974597
44423 -1 0.0
33643 45 0.606569217041152
33655 42 0.9641453148751421
31410 -1 0.0
120025 -1 0.0
98800 51 0.9220543348931318
307 -1 0.0
98588 57 0.9582991883272264
1990904 -1 0.0
98798 21 0.9512632603379665
31201 9 0.6876403743371438
16461 58 0.7345570004149209
19005 50 0.54945005179891
43256 5 0.7597971972756584
32993 68 0.9792099446125516
70013 48 0.9872445655452275
60205 49 0.989648857191862
43235 60 1.0
30141 54 1.0
43005 32 0.9048755449524294
1902495 -1 0.0
98590 27 0.9673322704214289
16234 65 1.0
97525 61 1.0
31312 25 1.0
33644 43 0.9990000868608149
8076 72 1.0
5911 34 1.0
45202 33 1.0
99738 38 1.0
16020 -1 0.0
61695 -1 0.0
19030 -1 0.0
97136 -1 0.0
16604 -1 0.0
31253 35 1.0
5634 56 0.9985010035780887
70603 29 1.0
98805 57 0.7712211496958654
1902554 -1 0.0
97729 -1 0.0
43190 -1 0.0
97180 -1 0.0
31301 6 1.0
9536 -1 0.0
43195 -1 0.0
17053 40 1.0
30667 57 0.8336468742573763
31300 6 0.9836990092740672
36064 -1 0.0
44232 -1 0.0
19814 16 1.0
109 -1 0.0
36464 -1 0.0
5777 -1 0.0
98552 14 0.9872795845852126
118 -1 0.0
98687 24 1.0
5667 -1 0.0
33648 42 0.718090631894554
8287 -1 0.0
62023 26 1.0
151 -1 0.0
5581 10 0.969526553123323
9532 -1 0.0
34708 18 1.0
30659 57 0.8301896955655671
31010 29 0.9924830588541715
71183 -1 0.0
44094 -1 0.0
98807 -1 0.0
1990351 -1 0.0
99512 30 0.8669867565780741
1904949 -1 0.0
97060 -1 0.0
33202 -1 0.0
8023 -1 0.0
