11125 3
16616 -1 0.0
16709 -1 0.0
16758 -1 0.0
16836 -1 0.0
16747 78 0.6489346070363999
16628 45 0.6361168192461685
4553 -1 0.0
8168 -1 0.0
16811 178 0.6627088311150181
16831 -1 0.0
16702 115 0.7560397961171845
16705 259 0.5842685244902358
8757 -1 0.0
52689 177 0.656956159936154
5515 229 0.5688403792161282
8483 -1 0.0
16301 220 0.4440455244474048
16765 -1 0.0
16773 220 0.439217777381912
16838 -1 0.0
35251 128 0.6507342758631113
19904 22 0.7635335401303502
16491 -1 0.0
16706 -1 0.0
16791 -1 0.0
16620 120 0.6281054950695181
30533 103 0.6849282077098822
44877 -1 0.0
16614 -1 0.0
16717 230 0.6824500058526509
140096 135 1.0
5102 235 0.5992592090925487
16832 150 0.5937036844274851
4497 -1 0.0
8146 -1 0.0
16646 -1 0.0
16627 202 0.6498204006536362
16881 57 0.6416974812805045
16763 116 0.6634066152831481
16708 38 0.7476672591463697
1664 236 0.48785162319382663
5126 231 0.6207610651187941
16879 32 0.6525643240764932
4896 228 0.6596368743829263
16878 -1 0.0
16780 109 0.7061074319694016
16823 70 0.7010758091648333
8374 84 0.5062734010958658
16846 8 0.728507762353354
140101 154 1.0
4930 247 0.5429599619065959
16462 93 0.5186742805209856
16405 -1 0.0
43168 269 1.0
16899 201 0.5982729548440078
5488 -1 0.0
16813 134 0.6222656908879091
19955 -1 0.0
8080 75 0.5538680561163726
16857 -1 0.0
16833 149 0.6409421900675863
3723 -1 0.0
35250 161 0.6595050953550861
16413 -1 0.0
4812 19 0.6879943089307409
4888 245 1.0
8375 166 0.6389965115677887
16837 16 0.6483555110180148
8081 158 0.6550611484328254
19899 191 0.6737985309705627
16647 214 0.6409377531255271
16861 138 0.6447238541838792
8144 -1 0.0
97159 257 0.9230744343652153
8410 3 0.6616080087307853
16410 -1 0.0
46527 127 0.7098080963503303
16812 126 0.6541480220094382
16799 -1 0.0
71855 223 0.9239574791559206
8171 -1 0.0
16866 130 0.590758330054764
19239 -1 0.0
70566 114 0.7045668972276016
8422 83 0.7099133722958896
33764 205 0.7470973764916022
16703 232 0.6812585875436693
46912 0 0.7014995907254377
8528 -1 0.0
22857 53 0.940345210134851
16645 216 0.6513012026809081
8170 -1 0.0
16903 -1 0.0
16814 -1 0.0
8514 63 0.9539522977130448
8484 31 0.7208379826184729
140097 132 0.9304003628798404
5198 -1 0.0
4674 243 0.8997411818590675
19213 -1 0.0
16779 139 0.994340310910788
16841 29 0.6773725962220964
8047 -1 0.0
30234 -1 0.0
16755 110 0.8360795495320733
4672 242 0.9150349961974128
4029 121 0.5525927006055307
16818 82 0.6380453570804182
9975 168 0.9338486357493507
38023 213 0.9173803961679283
16787 79 0.9170964578700146
19120 -1 0.0
16860 165 0.9202527291612908
8092 -1 0.0
16641 -1 0.0
16863 143 0.6992697107539714
16872 169 0.6629673136421698
16810 146 0.9739783845654755
4857 196 0.9732116136400081
1901363 -1 0.0
8194 -1 0.0
16776 220 0.2873514523573435
70851 231 0.4819533261838056
16639 -1 0.0
16783 -1 0.0
16713 -1 0.0
16623 118 0.707090071901033
16667 227 1.0
140103 166 0.4189713472105939
8395 256 0.9860015856880409
16638 137 0.9441256619783102
15295 11 1.0
47429 92 0.7065501377961857
97367 -1 0.0
4721 -1 0.0
16790 35 0.8849628448214086
19838 -1 0.0
16740 -1 0.0
15291 72 1.0
4601 193 0.9210977633679756
16853 -1 0.0
30247 210 1.0
16668 225 1.0
22853 71 0.998141134531143
16880 33 0.9976282581945592
16859 117 0.9493449695063452
140098 124 1.0
3677 -1 0.0
16671 221 0.9410998024797466
5179 20 1.0
70567 155 0.8554772934280392
8028 56 1.0
42626 52 0.9898768911897325
16803 85 1.0
47661 140 1.0
16830 132 0.9226680621746632
70568 151 0.9868166072067266
8188 241 1.0
16725 47 0.9910508727043504
1901505 64 1.0
16651 -1 0.0
43169 -1 0.0
16289 -1 0.0
4714 -1 0.0
16891 164 1.0
31821 -1 0.0
15020 -1 0.0
8982 43 1.0
10334 -1 0.0
16887 -1 0.0
3674 24 0.9269593780798765
16848 28 0.9716143138365054
15103 71 1.0
8373 -1 0.0
16744 17 1.0
8324 41 0.8532506005772605
19200 220 0.34826387104308637
1901681 -1 0.0
17069 -1 0.0
46993 -1 0.0
16829 -1 0.0
42562 -1 0.0
16634 -1 0.0
15179 41 0.9104945025255576
4645 -1 0.0
48020 76 1.0
4659 40 0.9007010840208673
42625 -1 0.0
30 125 0.9437252204680167
16657 -1 0.0
16682 -1 0.0
16723 -1 0.0
16742 -1 0.0
50486 130 0.3224031279007745
10333 -1 0.0
19901 211 1.0
31559 130 0.3231529413928205
42887 56 0.891572968500615
16868 130 0.33630531022195076
90563 -1 0.0
15926 -1 0.0
1990837 -1 0.0
8376 -1 0.0
978 99 1.0
16661 -1 0.0
16788 -1 0.0
3824 -1 0.0
16884 -1 0.0
8641 -1 0.0
1901618 -1 0.0
10484 75 0.27089507658350354
16701 115 0.26226138058487747
16854 -1 0.0
9055 216 0.3525275944171223
31811 -1 0.0
31690 -1 0.0
38024 -1 0.0
44212 -1 0.0
46857 222 1.0
19829 46 1.0
17110 93 0.2586088390150836
4540 -1 0.0
8172 -1 0.0
8378 -1 0.0
16712 -1 0.0
48018 20 0.7610849170742238
16835 -1 0.0
43021 209 0.9943191576924039
15144 -1 0.0
35256 -1 0.0
4620 -1 0.0
16655 -1 0.0
15301 42 1.0
30983 100 1.0
15101 -1 0.0
16892 -1 0.0
31406 -1 0.0
50308 -1 0.0
43495 -1 0.0
16856 140 0.850545028480882
30674 -1 0.0
99094 69 1.0
16774 220 0.305471351193754
4520 163 1.0
16874 -1 0.0
16625 -1 0.0
31862 -1 0.0
16636 -1 0.0
4551 93 0.26750963218726337
15925 -1 0.0
46914 -1 0.0
3899 10 1.0
16842 -1 0.0
1901682 -1 0.0
16743 -1 0.0
15370 1 1.0
70492 210 0.7255680547708894
140110 24 0.9500315549016843
8238 91 1.0
15491 12 1.0
3729 -1 0.0
99528 -1 0.0
4312 -1 0.0
52745 94 0.9511697785037444
15318 -1 0.0
51213 -1 0.0
19787 9 0.884469117386785
15929 -1 0.0
4022 -1 0.0
5319 -1 0.0
16888 163 0.9851833022864146
33293 -1 0.0
46915 -1 0.0
8169 -1 0.0
90599 -1 0.0
52743 -1 0.0
50737 -1 0.0
16898 -1 0.0
46996 -1 0.0
48029 -1 0.0
5261 -1 0.0
16726 47 0.9844970059982484
31753 -1 0.0
16895 131 1.0
140299 -1 0.0
5310 48 1.0
5048 212 1.0
16901 -1 0.0
35174 -1 0.0
16869 130 0.3319057994428722
48037 -1 0.0
52890 -1 0.0
18024 -1 0.0
16500 -1 0.0
16714 -1 0.0
16670 -1 0.0
8289 -1 0.0
17046 -1 0.0
33218 -1 0.0
43178 -1 0.0
16695 -1 0.0
16775 -1 0.0
16772 -1 0.0
50662 -1 0.0
4875 -1 0.0
15299 -1 0.0
16407 -1 0.0
90482 -1 0.0
16274 -1 0.0
51184 -1 0.0
42910 -1 0.0
72349 -1 0.0
3690 -1 0.0
16849 -1 0.0
16757 -1 0.0
15267 21 1.0
1848 -1 0.0
15175 41 0.84727754937964
46943 -1 0.0
120014 54 1.0
61629 235 0.32344286867437383
32451 -1 0.0
19842 -1 0.0
46030 -1 0.0
4559 -1 0.0
19957 -1 0.0
257 -1 0.0
70011 -1 0.0
47364 -1 0.0
34483 -1 0.0
19113 -1 0.0
3678 -1 0.0
16843 -1 0.0
17150 -1 0.0
97599 -1 0.0
4114 -1 0.0
217 -1 0.0
32452 -1 0.0
2161 -1 0.0
19783 91 0.9022603132178042
3995 -1 0.0
42277 212 0.9378173287495424
15355 -1 0.0
16855 140 0.9196201694401418
8276 -1 0.0
16209 -1 0.0
15665 -1 0.0
35252 -1 0.0
8227 -1 0.0
5543 -1 0.0
5254 -1 0.0
166 -1 0.0
5267 60 0.8917869558163642
5496 -1 0.0
19887 195 1.0
19865 -1 0.0
16663 -1 0.0
2094 40 1.0
16408 -1 0.0
70569 -1 0.0
8173 -1 0.0
61659 9 1.0
17111 -1 0.0
43175 -1 0.0
1091 -1 0.0
61650 9 1.0
16885 51 1.0
86008 -1 0.0
15149 43 0.8633361528067062
22836 21 1.0
140375 -1 0.0
16597 -1 0.0
15278 69 0.95213682629097
5351 -1 0.0
15036 225 0.6984820906101874
15079 -1 0.0
16635 202 0.33146259543824047
42379 -1 0.0
86075 -1 0.0
4955 -1 0.0
8174 -1 0.0
15605 -1 0.0
5245 65 0.9883498773968082
47617 36 1.0
5184 20 0.9787259644880543
18271 -1 0.0
19763 -1 0.0
16615 -1 0.0
70548 -1 0.0
3973 201 0.3125393650074462
4407 -1 0.0
4725 -1 0.0
31877 223 0.8749422579185454
31779 223 0.8626510913487391
17169 109 0.3373884123775261
15294 -1 0.0
16906 -1 0.0
31705 223 0.8703422340782783
19104 133 1.0
19843 -1 0.0
16781 -1 0.0
1847 -1 0.0
15171 -1 0.0
5249 60 0.9845554220132897
50780 -1 0.0
16215 -1 0.0
4301 86 1.0
19111 -1 0.0
16769 17 1.0
16684 -1 0.0
140030 -1 0.0
8175 -1 0.0
4629 158 0.3363702683644006
45236 -1 0.0
4175 -1 0.0
16862 -1 0.0
3905 -1 0.0
5021 -1 0.0
17022 234 1.0
8649 -1 0.0
15081 -1 0.0
1901474 41 0.7630770006596443
62105 -1 0.0
8425 -1 0.0
86080 -1 0.0
15075 -1 0.0
36041 -1 0.0
5216 -1 0.0
36002 -1 0.0
1846 -1 0.0
5337 -1 0.0
38187 213 0.9281545045797667
5548 54 0.9475827367186025
5326 -1 0.0
8527 -1 0.0
8990 -1 0.0
1901981 -1 0.0
16662 -1 0.0
4527 -1 0.0
8988 -1 0.0
5201 -1 0.0
120013 54 1.0
71813 -1 0.0
5355 43 0.8633361528067062
19707 -1 0.0
45289 -1 0.0
16418 -1 0.0
30613 -1 0.0
8094 -1 0.0
5402 -1 0.0
50145 220 0.23991107754929278
15662 46 0.9397373354457592
4722 -1 0.0
16411 -1 0.0
15166 -1 0.0
16297 -1 0.0
16426 -1 0.0
46872 -1 0.0
15288 -1 0.0
42165 -1 0.0
16778 -1 0.0
19238 -1 0.0
36094 -1 0.0
19205 220 0.23006857302761688
19903 -1 0.0
5088 192 1.0
35184 -1 0.0
16782 -1 0.0
3676 -1 0.0
98772 -1 0.0
8106 -1 0.0
10485 -1 0.0
32559 -1 0.0
15924 -1 0.0
8469 -1 0.0
4985 -1 0.0
42578 -1 0.0
15645 -1 0.0
35257 -1 0.0
16896 131 0.9791843747921053
4611 -1 0.0
4753 -1 0.0
51185 -1 0.0
32138 -1 0.0
16421 -1 0.0
828 220 0.24658726130735176
31841 223 0.8969963351085328
35671 45 0.23752765888752164
16727 47 1.0
50485 -1 0.0
35596 -1 0.0
3727 -1 0.0
8417 -1 0.0
46997 216 0.3850689255795947
