UniProtKB	GENEID
P04217	1
P01023	2
P18440	9
P11245	10
P01011	12
P22760	13
Q13685	14
Q16613	15
P49588	16
P80404	18
O95477	19
Q9BZC7	20
Q99758	21
O75027	22
Q8NE71	23
P78363	24
P00519	25
P19801	26
P42684	27
P16442	28
Q12979	29
P09110	30
Q13085	31
O00763	32
P28330	33
P11310	34
P16219	35
P45954	36
P49748	37
P24752	38
Q9BWD1	39
Q16515	40
P78348	41
P22303	43
P53396	47
P21399	48
P10323	49
Q99798	50
Q15067	51
P24666	52
P11117	53
P13686	54
P15309	55
P26436	56
P68133	58
P62736	59
P60709	60
P68032	70
P63261	71
P63267	72
O43707	81
O96019	86
P12814	87
P35609	88
Q08043	89
Q04771	90
P36896	91
P27037	92
Q13705	93
P37023	94
Q03154	95
P14621	98
P00813	100
P78325	101
O14672	102
P55265	103
P78563	104
Q9NS39	105
Q08828	107
Q08462	108
O60266	109
O95622	111
O43306	112
P51828	113
P40145	114
O60503	115
P18509	116
P41586	117
P35611	118
P35612	119
Q9UEY8	120
Q99541	123
P07327	124
P00325	125
P00326	126
P08319	127
P11766	128
P28332	130
P40394	131
P55263	132
P35318	133
P30542	134
P29274	135
P29275	136
P0DMS8	140
P54922	141
P09874	142
Q9UKK3	143
P25100	146
P35368	147
P35348	148
P08913	150
P18089	151
P18825	152
P08588	153
P07550	154
P13945	155
P25098	156
P35626	157
P30566	158
P30520	159
O95782	160
O94973	161
Q10567	162
P63010	163
O43747	164
Q8IUX7	165
Q08117	166
P54107	167
P43652	173
P02771	174
P20933	175
P16112	176
Q15109	177
P35573	178
O00253	181
P78504	182
P01019	183
P30556	185
P50052	186
P35414	187
P21549	189
P51843	190
P23526	191
P35869	196
P02765	197
P55008	199
Q9Y4K1	202
P00568	203
P54819	204
P27144	205
P31749	207
P31751	208
P13716	210
P13196	211
P22557	212
P02768	213
Q13740	214
P33897	215
P00352	216
P05091	217
P30838	218
P30837	219
P47895	220
P43353	221
P48448	222
P49189	223
P51648	224
Q9UBJ2	225
P04075	226
P05062	229
P09972	230
P15121	231
Q9UM73	238
P18054	239
P09917	240
P20292	241
O75342	242
P16050	246
O15296	247
P09923	248
P05186	249
P05187	250
P10696	251
O95076	257
Q9NP70	258
P02760	259
P17707	262
Q99217	265
Q99218	266
Q9UKV5	267
P03971	268
Q16671	269
P23109	270
Q01433	271
Q01432	272
P49418	273
O00499	274
P48728	275
P04745	276
P04745	277
P04745	278
P04746	279
P19961	280
P03950	283
Q15389	284
O15123	285
P16157	286
Q01484	287
Q12955	288
P15144	290
P12235	291
P05141	292
P12236	293
P04083	301
P07355	302
P12429	306
P09525	307
P08758	308
P08133	309
P20073	310
P50995	311
P27216	312
P28039	313
O75106	314
Q06278	316
O14727	317
P50583	318
Q13790	319
Q02410	320
Q99767	321
O00213	322
Q92870	323
P25054	324
P02743	325
O43918	326
P13798	327
P27695	328
Q13490	329
Q13489	330
P98170	331
O15392	332
P51693	333
Q06481	334
P02647	335
P02652	336
P06727	337
P04114	338
P41238	339
P02654	341
O94778	343
P02655	344
P02656	345
P55056	346
P05090	347
P02649	348
P02749	350
P05067	351
P07741	353
P07288	354
P25445	355
P48023	356
Q13796	357
P29972	358
P41181	359
Q92482	360
P55087	361
