# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
abnormalities, multiple	144	144	0	374654;1302;8626;2657;5190;2138;10083;5077;5824;5828;7050;80144;57514;64093;10743;3481;7399;673;7046;64072;128178;4239;3643;7048;2261;2314;4647;2068;79738;55997;10804;80326;1387;6591;136647;6901;57194;9496;79809;4281;4286;6663;5317;4487;6496;2071;64840;2074;8517;585;582;583;80184;124590;65217;129880;7020;3265;4626;1837;137814;51057;79955;4750;5573;1723;641;55636;4952;7546;7547;8504;9126;117581;3868;1908;79659;2200;27241;8195;3691;341640;182;10913;84059;3892;9409;25861;5781;2121;5894;1910;7840;4838;3887;404672;11005;5184;84100;3889;1028;5818;7405;7401;6495;2736;2737;132884;1161;4088;22954;147912;64324;1717;6899;1896;5728;123016;5195;91147;5727;5193;5192;2033;4204;57539;207;55212;493856;81794;8243;4792;7337;6469;166379;5830;4010;8481;25836;55670;4853;7466;54903;50937
actinomycetales infections	35	7	28	3593;8517;3594;3459;6772;3460;1536	3127;168507;124460;3128;79747;1540;3122;3123;9966;734;646583;5932;352961;4277;80099;6299;3119;3118;3117;55744;400757;149233;8767;64127;121838;144811;160857;56244
adenocarcinoma	36	25	11	5290;7030;84925;7157;5546;116093;324;4968;1033;51201;4841;79663;55193;8312;4233;11236;2271;6421;6392;201163;5979;9516;79058;57509;7428	595;8082;3119;3118;949;3709;2034;267015;390218;23095;4276
adnexal diseases	33	23	10	668;79983;5290;10232;23405;5889;5071;1730;207;675;999;672;135935;22800;5892;1499;9210;344018;2332;2492;4978;2516;2064	3232;5820;54796;3231;56169;286749;3973;100271197;57706;63892
adrenal gland diseases	20	20	0	2778;3758;8086;1589;1188;7157;51;6557;6770;190;1584;1585;1187;7809;215;3762;5573;1586;2516;3284
albuminuria	29	0	29	3751;117583;100271317;100271091;116448;23635;55686;346711;403301;728409;7092;2152;26957;401145;29851;56311;100130338;126969;100147821;7903;26281;1803;1060;3031;286097;8661;8029;340895;54901
alzheimer disease	36	13	23	55103;2629;7305;9627;4535;4536;54209;5663;351;5664;5071;348;4973	339761;10452;274;8301;283226;10347;338399;1191;51435;344558;643680;10913;25902;1378;341;23607;9846;23036;64231;2041;945;5819;51338
amino acid metabolism, inborn errors	56	56	0	593;2639;2731;2653;10165;5095;3141;275;6898;8546;5053;1738;4286;79783;875;4948;5096;3257;1373;28976;26258;84343;51151;3081;5860;388552;10157;3815;7299;5009;445;34;2110;383;2184;7306;11234;594;435;55065;4935;5184;79803;89781;3242;1629;37;36;35;27034;1585;2109;2108;84062;686;5092
amyotrophic lateral sclerosis	25	17	9	6647;57679;2521;10133;54822;9217;55277;1639;4744;23064;9896;6311;23435;7415;283;29978;203228	1804;79970;7074;998;23025;22920;56832;155061;203228
anemia	61	60	1	212;7056;629;10661;3426;6125;6708;2038;3040;3043;7015;6165;2821;5277;146059;22;50943;1719;79728;6204;6223;2035;546;6201;2175;2176;2178;6229;4891;100505503;2177;2623;203;718;10560;2729;55215;6521;8029;2187;3075;286;2189;81693;6710;4683;10483;3039;55120;4179;51251;6135;164656;2539;80324;3098;3458;6231;81494;6218	3704
anemia, aplastic	22	22	0	6125;7015;6165;3458;79728;6204;6223;2176;6201;2175;2178;6229;100505503;2177;55215;2187;2189;4683;55120;6135;6231;6218
anemia, hemolytic	29	29	0	629;3426;6708;3040;3043;2821;5277;146059;7056;2035;546;10661;10483;2038;2623;203;718;50943;6521;2729;6710;51251;3039;4179;2539;3098;286;81494;3075
aneurysm	20	7	13	1281;4088;59;7046;4629;4638;7048	2200;54805;153090;90627;26766;66037;6101;4035;5932;157708;64321;100048912;646583
ankylosis	21	0	21	3593;147;4055;3837;391282;4276;100271278;23046;10085;864;196527;390283;25949;51752;9755;10678;149233;267015;729816;200728;400867
arrhythmias, cardiac	34	26	8	3759;10060;10142;3753;10008;3757;9992;10021;6640;859;23171;287;775;3762;3741;6324;55800;4624;2702;1804;3784;783;4878;51422;6330;6331	3782;5308;729075;9722;463;387101;25903;387119
