DrugBankID_InteractorA	DrugBankID_InteractorB	Adverse
DB00806	DB00794	N
DB00500	DB00980	N
DB00570	DB00641	N
DB00570	DB04868	N
DB00570	DB00188	N
DB00570	DB01259	N
DB00570	DB06616	N
DB00002	DB00112	N
DB01165	DB00977	N
DB01193	DB00999	N
DB00481	DB00381	N
DB00590	DB01115	N
DB00590	DB00381	N
DB01162	DB00381	N
DB00907	DB01069	N
DB00907	DB00433	N
DB00907	DB00904	N
DB00907	DB00381	N
DB00907	DB01234	N
DB00887	DB00381	N
DB00490	DB01238	N
DB00490	DB01224	N
DB00333	DB00476	N
DB00333	DB01234	N
DB00333	DB00381	N
DB00333	DB00813	N
DB00889	DB00997	N
DB00889	DB00433	N
DB00889	DB01075	N
DB00889	DB01234	N
DB00246	DB00363	N
DB00246	DB00502	N
DB00246	DB00734	N
DB00246	DB01238	N
DB00246	DB01224	N
DB00285	DB00656	N
DB00285	DB00273	N
DB00285	DB00363	N
DB00285	DB00381	N
DB00285	DB01238	N
DB00285	DB00734	N
DB00285	DB00334	N
DB00904	DB00836	N
DB00502	DB00656	N
DB00502	DB00734	N
DB00502	DB01069	N
DB00502	DB00420	N
DB00502	DB01238	N
DB00502	DB00381	N
DB00502	DB01234	N
DB00502	DB00813	N
DB00502	DB00363	N
DB00502	DB00810	N
DB00502	DB01224	N
DB00420	DB00246	N
DB00420	DB00477	N
DB00420	DB01238	N
DB00420	DB00734	N
DB00420	DB00334	N
DB00420	DB01224	N
DB00580	DB00381	N
DB00580	DB00999	N
DB00580	DB00482	N
DB00780	DB00675	N
DB00370	DB01224	N
DB00370	DB00999	N
DB00370	DB00734	N
DB00370	DB01238	N
DB00370	DB00381	N
DB00656	DB01238	N
DB00656	DB00813	N
DB00656	DB00334	N
DB00656	DB00734	N
DB06148	DB00656	N
DB04842	DB04365	N
DB01062	DB00321	N
DB01062	DB00999	N
DB04821	DB01062	N
DB04297	DB06616	N
DB03496	DB02546	N
DB03496	DB00641	N
DB03496	DB08881	N
DB03496	DB06616	N
DB01392	DB00411	N
DB01186	DB00404	N
DB01186	DB00408	N
DB01083	DB00953	N
DB01065	DB01149	N
DB00861	DB06288	N
DB00836	DB00307	N
DB00831	DB00421	N
DB00831	DB01173	N
DB00738	DB00675	N
DB00738	DB00909	N
DB00714	DB00933	N
DB01149	DB00404	N
DB01184	DB00316	N
DB01184	DB00904	N
DB01184	DB01234	N
DB01184	DB00696	N
DB00988	DB01173	N
DB00988	DB01184	N
DB00549	DB00988	N
DB00933	DB00774	N
DB00543	DB00933	N
DB00404	DB01069	N
DB00404	DB00381	N
DB00404	DB01234	N
DB00404	DB00999	N
DB00408	DB01234	N
DB00408	DB00381	N
DB00408	DB00404	N
DB00624	DB01234	N
DB00624	DB00969	N
DB00391	DB00715	N
DB00391	DB00624	N
DB00391	DB00311	N
DB00382	DB00934	N
DB01113	DB01184	N
DB00744	DB00988	N
DB00843	DB00381	N
DB00603	DB00783	N
DB00603	DB00396	N
DB00603	DB00404	N
DB00232	DB01626	N
DB00191	DB00273	N
DB00165	DB00366	N
DB00691	DB00999	N
DB00608	DB01087	N
DB00182	DB01576	N
DB01085	DB00195	N
DB00715	DB00586	N
DB00715	DB00502	N
DB00715	DB00904	N
DB00715	DB00412	N
DB00715	DB00246	N
DB00715	DB00476	N
DB00715	DB00490	N
DB00715	DB00783	N
DB00715	DB00482	N
DB00715	DB00421	N
DB00715	DB01234	N
DB00715	DB01075	N
DB00715	DB01238	N
DB00715	DB00813	N
DB00715	DB00370	N
DB00715	DB00285	N
DB00715	DB00321	N
DB00715	DB00334	N
DB00715	DB00381	N
DB00715	DB00999	N
DB00715	DB00656	N
DB00715	DB00734	N
DB00715	DB00404	N
DB04861	DB00808	N
DB00396	DB00783	N
DB00694	DB08881	N
DB00694	DB01259	N
DB00694	DB06616	N
DB00422	DB01576	N
DB06288	DB00370	N
DB01171	DB06288	N
