#UniProtKBID	EntrezGeneID	GeneSymbol	DrugBankIDs
P04217	1	A1BG	DB09130;DB01593;DB14487;DB14533;
P01023	2	A2MG	DB00626;DB00102;DB00515;DB09130;DB06796;DB08888;DB12965;DB01593;DB14487;DB14533;
P18440	9	ARY1	DB11640;DB00244;DB01015;
P11245	10	ARY2	DB00316;DB00945;DB11640;DB01068;DB00250;DB04953;DB00951;DB09288;DB01015;
P01011	12	AACT	DB01593;DB14487;DB14533;
Q13685	14	AAMP
Q16613	15	SNAT	DB03341;DB02931;DB01777;
P49588	16	SYAC	DB00160;
P80404	18	GABT	DB01699;DB04235;DB00160;DB00142;DB00780;DB00114;DB00119;DB01080;
O95477	19	ABCA1	DB00171;DB01016;DB01599;DB00675;DB11635;DB00163;
Q9BZC7	20	ABCA2
Q99758	21	ABCA3	DB00619;
O75027	22	ABCB7
Q8NE71	23	ABCF1
P78363	24	ABCA4
P00519	25	ABL1	DB08043;DB08583;DB07831;DB08350;DB08339;DB00171;DB06616;DB12267;DB01254;DB12010;DB00619;DB13749;DB08231;DB03878;DB04868;DB08901;DB12323;DB08896;DB05184;
P42684	27	ABL2	DB07664;DB00171;DB01254;DB12010;DB05184;
P16442	28	BGAT	DB04141;DB03772;DB07357;DB07378;DB04681;DB04680;DB03501;DB04678;DB04679;DB07341;DB07633;DB03435;DB02196;
Q12979	29	ABR
P09110	30	THIK	DB09069;
Q13085	31	ACACA	DB00121;
O00763	32	ACACB	DB07870;DB03781;DB00173;DB00121;DB02859;
P28330	33	ACADL
P11310	34	ACADM	DB03415;DB03147;DB02910;
P16219	35	ACADS	DB03059;DB03147;DB00157;
P45954	36	ACDSB	DB00167;DB00313;
P49748	37	ACADV
P24752	38	THIL	DB09061;DB14009;DB14011;DB00795;
Q9BWD1	39	THIC	DB01992;DB01915;
Q16515	40	ASIC2	DB00594;
P78348	41	ASIC1	DB00594;DB00586;
P22303	43	ACES	DB07846;DB02673;DB04617;DB04614;DB04615;DB07756;DB07701;DB02404;DB08357;DB03814;DB08615;DB02343;DB02226;DB03005;DB04556;DB04114;DB03128;DB01122;DB03283;DB00411;DB00122;DB14006;DB01245;DB00944;DB08996;DB00449;DB00843;DB01010;DB01364;DB00674;DB00483;DB06525;DB04864;DB03348;DB07555;DB00677;DB04924;DB03359;DB00358;DB02825;DB02845;DB08167;DB04021;DB00805;DB01805;DB03740;DB01400;DB04892;DB00981;DB00733;DB02166;DB00545;DB00863;DB00989;DB00382;DB04616;DB01199;DB13503;DB04859;
P53396	47	ACLY
P21399	48	ACOC	DB06757;
P10323	49	ACRO
Q99798	50	ACON	DB03964;DB04351;DB04072;DB13257;DB01727;DB04562;
Q15067	51	ACOX1	DB07930;DB03147;DB09328;
P24666	52	PPAC	DB04214;DB00173;
P11117	53	PPAL
P13686	54	PPA5	DB02325;
P15309	55	PPAP	DB03390;DB03577;DB06688;
P68133	58	ACTS	DB04151;DB04629;DB03850;DB03616;DB02621;DB08080;DB04395;DB04774;DB04775;DB04783;DB02772;DB03903;DB03021;
P62736	59	ACTA	DB12695;
P60709	60	ACTB	DB12695;DB04216;
P68032	70	ACTC
P63261	71	ACTG	DB11638;DB09130;
P63267	72	ACTH
O43707	81	ACTN4
O96019	86	ACL6A
P12814	87	ACTN1	DB09130;DB06773;
P35609	88	ACTN2
Q08043	89	ACTN3
Q04771	90	ACVR1	DB08597;DB00171;DB12010;
P36896	91	ACV1B	DB00171;DB12010;
P27037	92	AVR2A	DB12118;
Q13705	93	AVR2B
P37023	94	ACVL1	DB00171;
Q03154	95	ACY1	DB06151;DB00128;DB09130;
P07311	97	ACYP1
P14621	98	ACYP2	DB01942;
P00813	100	ADA	DB07711;DB07783;DB07786;DB04218;DB07785;DB03015;DB02472;DB00640;DB00975;DB14600;DB00974;DB05057;DB02616;DB02096;DB03572;DB03220;DB02830;DB03370;DB04440;DB01280;DB00552;DB00277;DB00194;
P78325	101	ADAM8
O14672	102	ADA10	DB04991;
P55265	103	DSRAD
P78563	104	RED1
Q9NS39	105	RED2
Q08828	107	ADCY1	DB00131;DB00171;DB09121;DB13749;
Q08462	108	ADCY2	DB06843;DB09121;DB02587;
O60266	109	ADCY3
O95622	111	ADCY5	DB06843;DB09121;DB02587;
O43306	112	ADCY6
P51828	113	ADCY7
P40145	114	ADCY8
O60503	115	ADCY9
P18509	116	PACA	DB03988;
P41586	117	PACR
P35611	118	ADDA
P35612	119	ADDB
Q9UEY8	120	ADDG
Q99541	123	PLIN2
P07327	124	ADH1A	DB02721;DB00898;DB01213;DB04065;DB00157;
P00325	125	ADH1B	DB02721;DB03703;DB00898;DB01213;DB09462;DB02481;DB04105;DB00157;DB03461;
P00326	126	ADH1G	DB03061;DB01711;DB04312;DB04448;DB02249;DB02871;DB02721;DB03020;DB02659;DB04071;DB03559;DB00898;DB01213;DB02131;DB04113;DB00157;DB02822;DB02757;DB03226;DB14487;DB14533;
P08319	127	ADH4	DB03559;DB00898;DB00157;
P11766	128	ADHX	DB03704;DB00898;DB03017;DB00157;DB11077;DB04153;
P28332	130	ADH6	DB01048;DB00898;DB00157;
P40394	131	ADH7	DB00898;DB00157;
P55263	132	ADK	DB07280;DB07173;DB01048;DB00640;DB00131;DB00171;DB00811;
P35318	133	ADML
P30542	134	AA1R	DB00640;DB01223;DB00201;DB09061;DB04932;DB00651;DB00824;DB00996;DB11757;DB00555;DB06471;DB01303;DB00806;DB12670;DB04954;DB01412;DB00277;DB12569;DB00193;
P29274	135	AA2AR	DB08770;DB14132;DB00640;DB05009;DB05191;DB04853;DB00201;DB04932;DB09273;DB00651;DB00824;DB11757;DB00555;DB00358;DB01303;DB00806;DB06213;DB01412;DB00277;
P29275	136	AA2BR	DB00640;DB00201;DB05936;DB04932;DB00824;DB00277;
P0DMS8	140	AA3R	DB00640;DB01223;DB00201;DB00824;DB12010;DB05511;
P54922	141	ADPRH
P09874	142	PARP1	DB04010;DB03509;DB03072;DB03722;DB03073;DB07787;DB07096;DB02498;DB13877;DB02701;DB11793;DB02690;DB09074;DB12332;DB11760;DB00277;DB07330;DB07232;DB01593;DB14487;DB14533;
Q9UKK3	143	PARP4
P25100	146	ADA1D	DB00346;DB00321;DB00543;DB00182;DB09229;DB09204;DB01200;DB00490;DB00248;DB01136;DB00477;DB09202;DB00575;DB00298;DB01151;DB11273;DB13345;DB11278;DB00841;DB09167;DB00590;DB01142;DB04855;DB06262;DB05492;DB00668;DB01049;DB00696;DB01175;DB09194;DB00800;DB00458;DB11577;DB00598;DB09195;DB00934;DB01365;DB01403;DB00723;DB06148;DB00211;DB00370;DB09205;DB00622;DB00368;DB00540;DB06229;DB00935;DB00715;DB01186;DB08922;DB00925;DB00692;DB00388;DB09286;DB06153;DB00457;DB00433;DB00420;DB00777;DB01224;DB00908;DB05469;DB11124;DB00243;DB00268;DB06144;DB06207;DB09203;DB00706;DB01162;DB13025;DB00697;DB00661;DB06694;
P35368	147	ADA1B	DB01614;DB00346;DB00321;DB00543;DB00182;DB09229;DB01238;DB14185;DB09204;DB09128;DB01200;DB00490;DB00248;DB01136;DB00477;DB09202;DB00575;DB00363;DB00298;DB01151;DB01576;DB11273;DB13345;DB11278;DB00841;DB09167;DB00590;DB01142;DB04855;DB06262;DB05492;DB00668;DB01049;DB00696;DB01175;DB09194;DB00800;DB00458;DB11577;DB00598;DB09195;DB00408;DB00934;DB01365;DB01403;DB00723;DB06148;DB00211;DB00370;DB00745;DB09205;DB01149;DB00622;DB00368;DB00540;DB06229;DB00334;DB00935;DB01267;DB00715;DB01186;DB01608;DB08922;DB01579;DB00925;DB00692;DB00388;DB09286;DB06153;DB00457;DB00433;DB00420;DB00777;DB01224;DB00908;DB05469;DB11124;DB00243;DB00734;DB00268;DB06144;DB06207;DB09203;DB00706;DB01162;DB01622;DB00679;DB13025;DB00697;DB00726;DB00661;DB06694;DB00246;
