BioGRIDInteractionID	EntrezGeneID_InteractorA	EntrezGeneID_InteractorB	BioGRIDID_InteractorA	BioGRIDID_InteractorB	SystematicName_InteractorA	SystematicName_InteractorB	OfficialSymbol_InteractorA	OfficialSymbol_InteractorB	Synonyms_InteractorA	Synonyms_InteractorB	ExperimentalSystem	ExperimentalSystemType	Author	PublicationSource	OrganismID_InteractorA	OrganismName_InteractorA	OrganismID_InteractorB	OrganismName_InteractorB	Throughput	Score	Modification	Qualifications	Tags	SourceDatabase	SWISSPROTAccessions_InteractorA	TREMBLAccessions_InteractorA	REFSEQAccessions_InteractorA	SWISSPROTAccessions_InteractorB	TREMBLAccessions_InteractorB	REFSEQAccessions_InteractorB	OntologyTermIDs	OntologyTermNames	OntologyTermCategories	OntologyTermQualifierIDs	OntologyTermQualifierNames	OntologyTermTypes
482679	951475	4869	1205534	110929	HCVgp1	-	HCVgp1	NPM1	-	B23|NPM	Affinity Capture-Western	physical	Mai RT (2006)	PUBMED:16170350	11103	Hepatitus C Virus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P06748	-	NP_002511|NP_001032827|NP_954654	-	-	-	-	-	-
482680	4869	951475	110929	1205534	-	HCVgp1	NPM1	HCVgp1	B23|NPM	-	Reconstituted Complex	physical	Mai RT (2006)	PUBMED:16170350	9606	Homo sapiens	11103	Hepatitus C Virus	Low Throughput	-	-	-	-	BIOGRID	P06748	-	NP_002511|NP_001032827|NP_954654	-	-	NP_671491	-	-	-	-	-	-
482681	951475	4869	1205534	110929	HCVgp1	-	HCVgp1	NPM1	-	B23|NPM	Co-fractionation	physical	Mai RT (2006)	PUBMED:16170350	11103	Hepatitus C Virus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P06748	-	NP_002511|NP_001032827|NP_954654	-	-	-	-	-	-
482682	951475	7528	1205534	113360	HCVgp1	-	HCVgp1	YY1	-	DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1	Co-fractionation	physical	Mai RT (2006)	PUBMED:16170350	11103	Hepatitus C Virus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P25490	-	NP_003394	-	-	-	-	-	-
482683	951475	4869	1205534	110929	HCVgp1	-	HCVgp1	NPM1	-	B23|NPM	Reconstituted Complex	physical	Mai RT (2006)	PUBMED:16170350	11103	Hepatitus C Virus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P06748	-	NP_002511|NP_001032827|NP_954654	-	-	-	-	-	-
482684	951475	7528	1205534	113360	HCVgp1	-	HCVgp1	YY1	-	DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1	Reconstituted Complex	physical	Mai RT (2006)	PUBMED:16170350	11103	Hepatitus C Virus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	P25490	-	NP_003394	-	-	-	-	-	-
482686	7528	951475	113360	1205534	-	HCVgp1	YY1	HCVgp1	DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1	-	Affinity Capture-Western	physical	Mai RT (2006)	PUBMED:16170350	9606	Homo sapiens	11103	Hepatitus C Virus	Low Throughput	-	-	-	-	BIOGRID	P25490	-	NP_003394	-	-	NP_671491	-	-	-	-	-	-
482688	951475	2033	1205534	108347	HCVgp1	RP1-85F18.1	HCVgp1	EP300	-	KAT3B|RSTS2|p300	Reconstituted Complex	physical	Mai RT (2006)	PUBMED:16170350	11103	Hepatitus C Virus	9606	Homo sapiens	Low Throughput	-	-	ChIP, etg951475 is HCV Core protein	-	BIOGRID	-	-	NP_671491	Q09472	Q7Z6C1	NP_001420	-	-	-	-	-	-
482689	2033	951475	108347	1205534	RP1-85F18.1	HCVgp1	EP300	HCVgp1	KAT3B|RSTS2|p300	-	Affinity Capture-Western	physical	Mai RT (2006)	PUBMED:16170350	9606	Homo sapiens	11103	Hepatitus C Virus	Low Throughput	-	-	ChIP, etg951475 is HCV Core protein	-	BIOGRID	Q09472	Q7Z6C1	NP_001420	-	-	NP_671491	-	-	-	-	-	-
557310	951475	7337	1205534	113185	HCVgp1	-	HCVgp1	UBE3A	-	ANCR|AS|E6-AP|EPVE6AP|HPVE6A	Affinity Capture-MS	physical	Shirakura M (2007)	PUBMED:17108031	11103	Hepatitus C Virus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	-	-	NP_671491	Q05086	Q9H2G0|Q9BUI6	NP_000453|NP_570854|NP_570853	-	-	-	-	-	-
