#BioGRIDInteractionID	EntrezGeneID_InteractorA	EntrezGeneID_InteractorB	BioGRIDID_InteractorA	BioGRIDID_InteractorB	SystematicName_InteractorA	SystematicName_InteractorB	OfficialSymbol_InteractorA	OfficialSymbol_InteractorB	Synonyms_InteractorA	Synonyms_InteractorB	ExperimentalSystem	ExperimentalSystemType	Author	PublicationSource	OrganismID_InteractorA	OrganismName_InteractorA	OrganismID_InteractorB	OrganismName_InteractorB	Throughput	Score	Modification	Qualifications	Tags	SourceDatabase	SWISSPROTAccessions_InteractorA	TREMBLAccessions_InteractorA	REFSEQAccessions_InteractorA	SWISSPROTAccessions_InteractorB	TREMBLAccessions_InteractorB	REFSEQAccessions_InteractorB	OntologyTermIDs	OntologyTermNames	OntologyTermCategories	OntologyTermQualifierIDs	OntologyTermQualifierNames	OntologyTermTypes
644166	3077449	8295	1678002	113900	HHV5wtgp032	-	UL27	TRRAP	-	PAF350/400|PAF400|STAF40|TR-AP|Tra1	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	Q9Y4A5	-	NP_003487|NP_001231509	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644167	3077449	10197	1678002	115492	HHV5wtgp032	-	UL27	PSME3	-	HEL-S-283|Ki|PA28-gamma|PA28G|PA28gamma|REG-GAMMA	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	P61289	Q6MZZ1|V9HWJ8|A0A024R203	NP_001317158|NP_789839|NP_005780|NP_001253974	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644168	3077449	51366	1678002	119501	HHV5wtgp032	-	UL27	UBR5	-	DD5|EDD|EDD1|HYD	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	O95071	E7EMW7	NP_056986|NP_001269802	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644169	3077449	57634	1678002	121676	HHV5wtgp032	-	UL27	EP400	-	CAGH32|P400|TNRC12	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	Q96L91	-	NP_056224	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644170	3077449	47	1678002	106563	HHV5wtgp032	-	UL27	ACLY	-	ACL|ATPCL|CLATP	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	P53396	A0A024R1T9|A0A024R1Y2	NP_001290203|NP_942127|NP_001087|NP_001290204	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644171	3077449	10856	1678002	116067	HHV5wtgp032	CGI-46	UL27	RUVBL2	-	ECP51|INO80J|REPTIN|RVB2|TIH2|TIP48|TIP49B	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	Q9Y230	B3KNL2	NP_006657|NP_001308120|NP_001308119	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644172	3077449	5901	1678002	111837	HHV5wtgp032	OK/SW-cl.81	UL27	RAN	-	ARA24|Gsp1|TC4	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	P62826	B4DV51	NP_006316|NP_001287725|NP_001287726	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644173	3077449	3189	1678002	109430	HHV5wtgp032	-	UL27	HNRNPH3	-	2H9|HNRPH3	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	P31942	Q53F48|A0A024QZP1|A0A024QZK8	NP_001309365|NP_001309367|NP_001309366|NP_001309363|NP_001309372|NP_001309373|NP_001309370|NP_001309371|NP_001309369|NP_001309368|NP_067676|NP_036339	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644174	3077449	873	1678002	107319	HHV5wtgp032	-	UL27	CBR1	-	CBR|SDR21C1|hCBR1	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	P16152	-	NP_001273718|NP_001748	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
644175	3077449	5704	1678002	111677	HHV5wtgp032	-	UL27	PSMC4	-	MIP224|RPT3|S6|TBP-7|TBP7	Affinity Capture-MS	physical	Reitsma JM (2011)	PUBMED:21320693	10359	Human Herpesvirus 5	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	Q6SWA4	F5HIB9	YP_081486	P43686	A8K2M0	NP_694546|NP_006494	BTO:0002245	foreskin fibroblast cell line	cell line	UBERON:0007221	neonate stage	-
