#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism Name Interactor A	Organism ID Interactor B	Organism Name Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types
1173684	1489079	5925	4263558	111860	HpV16gp2	RP11-174I10.1	E7	RB1	-	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Dyson N (1992)	PUBMED:1331501	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-
1173685	1489079	5925	4263558	111860	HpV16gp2	RP11-174I10.1	E7	RB1	-	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Dyson N (1992)	PUBMED:1331501	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-
1173686	1489079	890	4263558	107331	HpV16gp2	-	E7	CCNA2	-	CCN1|CCNA	Reconstituted Complex	physical	Dyson N (1992)	PUBMED:1331501	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	P20248	-	NP_001228	-	-	-	-	-	-
1173687	1489079	5934	4263558	111869	HpV16gp2	-	E7	RBL2	-	P130|Rb2	Reconstituted Complex	physical	Dyson N (1992)	PUBMED:1331501	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	Q08999	-	NP_001310538|NP_001310540|NP_001310537|NP_001310539|NP_005602	-	-	-	-	-	-
1173688	1489079	5933	4263558	111868	HpV16gp2	RP11-382A12.1	E7	RBL1	-	CP107|PRB1|p107	Reconstituted Complex	physical	Dyson N (1992)	PUBMED:1331501	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	P28749	-	NP_899662|NP_002886	-	-	-	-	-	-
1504445	1489079	1387	4263558	107777	HpV16gp2	-	E7	CREBBP	-	CBP|KAT3A|RSTS	Reconstituted Complex	physical	Jansma AL (2014)	PUBMED:25451029	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	E7 can also form a ternary complex with RB1 and CBP	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	Q92793	-	NP_001073315|NP_004371	-	-	-	-	-	-
1504448	1489079	1387	4263558	107777	HpV16gp2	-	E7	CREBBP	-	CBP|KAT3A|RSTS	Co-crystal Structure	physical	Jansma AL (2014)	PUBMED:25451029	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	NMR	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	Q92793	-	NP_001073315|NP_004371	-	-	-	-	-	-
1504450	1489079	5925	4263558	111860	HpV16gp2	RP11-174I10.1	E7	RB1	-	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Co-crystal Structure	physical	Jansma AL (2014)	PUBMED:25451029	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	NMR	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-
1504452	1489079	5925	4263558	111860	HpV16gp2	RP11-174I10.1	E7	RB1	-	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Jansma AL (2014)	PUBMED:25451029	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	E7 can also form a ternary complex with RB1 and CBP	-	BIOGRID	P03129	Q778I3|Q778H9|Q778I0|Q778I1|Q778G6|Q547B8|Q778G8|Q77AI1|Q77GV7|Q778H1|Q778H2|Q778G9|Q778I5|Q778G4|Q778H7	NP_041326	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-
1515077	1489078	7337	4263557	113185	HpV16gp1	-	E6	UBE3A	-	ANCR|AS|E6-AP|EPVE6AP|HPVE6A	Co-crystal Structure	physical	Martinez-Zapien D (2016)	PUBMED:26789255	333760	Human papillomavirus (16)	9606	Homo sapiens	Low Throughput	-	-	Here we solve the crystal structure of a ternary complex comprising human papilloma virus type 16 (HPV-16) E6, the LxxLL motif of E6AP and the core domain of p53	-	BIOGRID	P03126	Q547J2	NP_041325	Q05086	Q9H2G0|Q9BUI6	NP_000453|NP_570854|NP_570853	-	-	-	-	-	-
