#BioGRIDInteractionID	EntrezGeneID_InteractorA	EntrezGeneID_InteractorB	BioGRIDID_InteractorA	BioGRIDID_InteractorB	SystematicName_InteractorA	SystematicName_InteractorB	OfficialSymbol_InteractorA	OfficialSymbol_InteractorB	Synonyms_InteractorA	Synonyms_InteractorB	ExperimentalSystem	ExperimentalSystemType	Author	PublicationSource	OrganismID_InteractorA	OrganismName_InteractorA	OrganismID_InteractorB	OrganismName_InteractorB	Throughput	Score	Modification	Qualifications	Tags	SourceDatabase	SWISSPROTAccessions_InteractorA	TREMBLAccessions_InteractorA	REFSEQAccessions_InteractorA	SWISSPROTAccessions_InteractorB	TREMBLAccessions_InteractorB	REFSEQAccessions_InteractorB	OntologyTermIDs	OntologyTermNames	OntologyTermCategories	OntologyTermQualifierIDs	OntologyTermQualifierNames	OntologyTermTypes
2655828	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA	ACEH	Reconstituted Complex	physical	Li W (2007)	PUBMED:17631932	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-
2655829	1489680	1489680	4383938	4383938	SARS-CoV-1ab	SARS-CoV-1ab	ORF1ab	ORF1ab	1a-1b|rep|1ab|SARS-CoV orf1ab|pp1ab|R1AB_CVHSA	1a-1b|rep|1ab|SARS-CoV orf1ab|pp1ab|R1AB_CVHSA	Co-crystal Structure	physical	Barrila J (2010)	PUBMED:20420403	694009	Severe acute respiratory syndrome-related coronavirus	694009	Severe acute respiratory syndrome-related coronavirus	Low Throughput	-	-	homodimerization	-	BIOGRID	P0C6X7	-	NP_828849	P0C6X7	-	NP_828849	-	-	-	-	-	-
2655830	100772552	1489668	1636295	4383915	-	SARS-CoV-2	Ace2	S	-	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA	Reconstituted Complex	physical	Guillon P (2008)	PUBMED:18818423	10029	Cricetulus griseus	694009	Severe acute respiratory syndrome-related coronavirus	Low Throughput	-	-	-	-	BIOGRID	-	A0A061HZ66		P59594	-	NP_828851	-	-	-	-	-	-
2656269	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA	ACEH	Reconstituted Complex	physical	Li F (2006)	PUBMED:16809285	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	Low Throughput	-	-	Soluble ACE2 binds both monomers and trimers of S-e	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-
2656270	1489668	1489668	4383915	4383915	SARS-CoV-2	SARS-CoV-2	S	S	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA	Reconstituted Complex	physical	Li F (2006)	PUBMED:16809285	694009	Severe acute respiratory syndrome-related coronavirus	694009	Severe acute respiratory syndrome-related coronavirus	Low Throughput	-	-	forms trimers in vitro	-	BIOGRID	P59594	-	NP_828851	P59594	-	NP_828851	-	-	-	-	-	-
2656271	1489678	1489672	4383916	4383913	SARS-CoV-9a	SARS-CoV-5	N	M	ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA	ORF5|5|matrix protein|mem|M protein|SARS-CoV M|SARS-CoV Mem|matrix|membrane|VME1_CVHSA	Two-hybrid	physical	He R (2004)	PUBMED:15351485	694009	Severe acute respiratory syndrome-related coronavirus	694009	Severe acute respiratory syndrome-related coronavirus	Low Throughput	-	-	-	-	BIOGRID	P59595	-	NP_828858	P59596	-	NP_828855	-	-	-	-	-	-
2656272	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA	ACEH	Reconstituted Complex	physical	He Y (2004)	PUBMED:15474494	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-
2656273	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA	ACEH	Reconstituted Complex	physical	Hofmann H (2006)	PUBMED:16912312	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-
2656274	10747	1489678	115970	4383916	-	SARS-CoV-9a	MASP2	N	MAP19|MASP-2|MASP1P1|sMAP	ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA	Reconstituted Complex	physical	Gao T (2020)	DOI:10.1101/2020.03.29.20041962	9606	Homo sapiens	694009	Severe acute respiratory syndrome-related coronavirus	Low Throughput	-	-	-	-	BIOGRID	O00187	-	NP_006601|NP_631947	P59595	-	NP_828858	-	-	-	-	-	-
2656275	1489671	598	4383914	107070	SARS-CoV-4	RP5-857M17.3	E	BCL2L1	ORF4|sM|4|protein E|protein sM|small envelope protein|env|envelope|SARS-CoV E|SARS-CoV Env|VEMP_CVHSA	BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS	Reconstituted Complex	physical	Yang Y (2005)	PUBMED:16048439	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P59637	-	NP_828854	Q07817	Q5TE63	NP_612815|NP_001309171|NP_001309169|NP_001309168|NP_001304850|NP_001182|NP_001304849|NP_001304848	-	-	-	-	-	-
2656283	17175	1489678	201317	4383916	RP23-331P21.4	SARS-CoV-9a	Masp2	N	MASP-2|MAp19	ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA	Co-localization	physical	Gao T (2020)	DOI:10.1101/2020.03.29.20041962	10090	Mus musculus	694009	Severe acute respiratory syndrome-related coronavirus	Low Throughput	-	-	Proximity ligation assay (PLA)	-	BIOGRID	Q91WP0	-	NP_001003893|NP_034897	P59595	-	NP_828858	-	-	-	-	-	-
2656303	1489668	59272	4383915	121864	SARS-CoV-2	UNQ868/PRO1885	S	ACE2	ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA	ACEH	Reconstituted Complex	physical	Tai W (2020)	PUBMED:32203189	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P59594	-	NP_828851	Q9BYF1	-	NP_068576	-	-	-	-	-	-
2657646	1489680	23429	4383950	116997	SARS-CoV-1ab-nsp13ab	-	nsp13ab	RYBP	nsp13|sars1ab|orf1ab|SARS-CoV nsp13ab|SARS-CoV nsp13|SARS-CoV sars1ab|orf1ab-nsp13|orf1ab-nsp13ab|pp1ab|R1AB_CVHSA	AAP1|DEDAF|YEAF1	Two-hybrid	physical	Pfefferle S (2011)	PUBMED:22046132	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	High Throughput	-	-	validated candidates from HTYTH screen	-	BIOGRID	P0C6X7	-	NP_828870	Q8N488	-	NP_036366	-	-	-	-	-	-
2657647	1489680	5478	4383939	111474	SARS-CoV-1ab-nsp1ab	-	nsp1ab	PPIA	nsp1|sars1ab|orf1ab|SARS-CoV nsp1ab|SARS-CoV nsp1|SARS-CoV sars1ab|orf1ab-nsp1|orf1ab-nsp1ab|pp1ab|R1AB_CVHSA	CYPA|CYPH|HEL-S-69p	Two-hybrid	physical	Pfefferle S (2011)	PUBMED:22046132	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	High Throughput|Low Throughput	-	-	validated candidates from HTYTH screen	-	BIOGRID	P0C6X7	-	NP_828860	P62937	V9HWF5	NP_066953|NP_001287910	-	-	-	-	-	-
2657648	1489680	408050	4383946	135912	SARS-CoV-1ab-nsp8ab	-	nsp8ab	NOMO3	nsp8|sars1ab|orf1ab|SARS-CoV nsp8ab|SARS-CoV nsp8|SARS-CoV sars1ab|orf1ab-nsp8|orf1ab-nsp8ab|pp1ab|R1AB_CVHSA	Nomo	Two-hybrid	physical	Pfefferle S (2011)	PUBMED:22046132	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	High Throughput	-	-	validated candidates from HTYTH screen	-	BIOGRID	P0C6X7	-	NP_828866	P69849	J3KN36|Q1LZN2	NP_001004067	-	-	-	-	-	-
2657649	1489680	2280	4383939	108570	SARS-CoV-1ab-nsp1ab	RP11-314N13.2	nsp1ab	FKBP1A	nsp1|sars1ab|orf1ab|SARS-CoV nsp1ab|SARS-CoV nsp1|SARS-CoV sars1ab|orf1ab-nsp1|orf1ab-nsp1ab|pp1ab|R1AB_CVHSA	FKBP-12|FKBP-1A|FKBP1|FKBP12|PKC12|PKCI2|PPIASE	Two-hybrid	physical	Pfefferle S (2011)	PUBMED:22046132	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	High Throughput|Low Throughput	-	-	validated candidates from HTYTH screen	-	BIOGRID	P0C6X7	-	NP_828860	P62942	Q0VDC6|A0A087WTS4	NP_463460|NP_000792|NP_001186715	-	-	-	-	-	-
2657650	1489680	9360	4383939	114761	SARS-CoV-1ab-nsp1ab	-	nsp1ab	PPIG	nsp1|sars1ab|orf1ab|SARS-CoV nsp1ab|SARS-CoV nsp1|SARS-CoV sars1ab|orf1ab-nsp1|orf1ab-nsp1ab|pp1ab|R1AB_CVHSA	CARS-Cyp|CYP|SCAF10|SRCyp	Two-hybrid	physical	Pfefferle S (2011)	PUBMED:22046132	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	High Throughput|Low Throughput	-	-	validated candidates from HTYTH screen	-	BIOGRID	P0C6X7	-	NP_828860	Q13427	-	NP_004783	-	-	-	-	-	-
2657651	1489679	4140	4383924	110310	SARS-CoV-9b	-	ORF9b	MARK3	9b|ns9b|SARS-CoV sars9b|ORF9b|SARS-CoV ORF9b|ORF9B_CVHSA	CTAK1|KP78|PAR1A|Par-1a	Two-hybrid	physical	Pfefferle S (2011)	PUBMED:22046132	694009	Severe acute respiratory syndrome-related coronavirus	9606	Homo sapiens	High Throughput	-	-	validated candidates from HTYTH screen	-	BIOGRID	P59636	-	NP_828859	P27448	Q86U11	NP_001122391|NP_002367|NP_001122390|NP_001122393|NP_001122392	-	-	-	-	-	-
