BioGRIDInteractionID	EntrezGeneID_InteractorA	EntrezGeneID_InteractorB	BioGRIDID_InteractorA	BioGRIDID_InteractorB	SystematicName_InteractorA	SystematicName_InteractorB	OfficialSymbol_InteractorA	OfficialSymbol_InteractorB	Synonyms_InteractorA	Synonyms_InteractorB	ExperimentalSystem	ExperimentalSystemType	Author	PublicationSource	OrganismID_InteractorA	OrganismName_InteractorA	OrganismID_InteractorB	OrganismName_InteractorB	Throughput	Score	Modification	Qualifications	Tags	SourceDatabase	SWISSPROTAccessions_InteractorA	TREMBLAccessions_InteractorA	REFSEQAccessions_InteractorA	SWISSPROTAccessions_InteractorB	TREMBLAccessions_InteractorB	REFSEQAccessions_InteractorB	OntologyTermIDs	OntologyTermNames	OntologyTermCategories	OntologyTermQualifierIDs	OntologyTermQualifierNames	OntologyTermTypes
481398	3783727	55729	971769	120849	HHV4_BRLF1	RP11-502N13.4	BRLF1	ATF7IP	-	AM|ATF-IP|MCAF|MCAF1|p621	Two-hybrid	physical	Chang LK (2005)	PUBMED:16314315	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03209	-	YP_401674	Q6VMQ6	B3KNI7|B3KQF8|A0A024RAY1	NP_001273443|NP_060649|NP_001273444|NP_851997	-	-	-	-	-	-
481399	55729	3783727	120849	971769	RP11-502N13.4	HHV4_BRLF1	ATF7IP	BRLF1	AM|ATF-IP|MCAF|MCAF1|p621	-	Reconstituted Complex	physical	Chang LK (2005)	PUBMED:16314315	9606	Homo sapiens	10376	Human Herpesvirus 4	Low Throughput	-	-	-	-	BIOGRID	Q6VMQ6	B3KNI7|B3KQF8|A0A024RAY1	NP_001273443|NP_060649|NP_001273444|NP_851997	P03209	-	YP_401674	-	-	-	-	-	-
481402	3783727	55729	971769	120849	HHV4_BRLF1	RP11-502N13.4	BRLF1	ATF7IP	-	AM|ATF-IP|MCAF|MCAF1|p621	Reconstituted Complex	physical	Chang LK (2005)	PUBMED:16314315	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03209	-	YP_401674	Q6VMQ6	B3KNI7|B3KQF8|A0A024RAY1	NP_001273443|NP_060649|NP_001273444|NP_851997	-	-	-	-	-	-
481403	3783727	55729	971769	120849	HHV4_BRLF1	RP11-502N13.4	BRLF1	ATF7IP	-	AM|ATF-IP|MCAF|MCAF1|p621	Affinity Capture-Western	physical	Chang LK (2005)	PUBMED:16314315	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03209	-	YP_401674	Q6VMQ6	B3KNI7|B3KQF8|A0A024RAY1	NP_001273443|NP_060649|NP_001273444|NP_851997	-	-	-	-	-	-
481404	55729	3783727	120849	971769	RP11-502N13.4	HHV4_BRLF1	ATF7IP	BRLF1	AM|ATF-IP|MCAF|MCAF1|p621	-	Affinity Capture-Western	physical	Chang LK (2005)	PUBMED:16314315	9606	Homo sapiens	10376	Human Herpesvirus 4	Low Throughput	-	-	-	-	BIOGRID	Q6VMQ6	B3KNI7|B3KQF8|A0A024RAY1	NP_001273443|NP_060649|NP_001273444|NP_851997	P03209	-	YP_401674	-	-	-	-	-	-
481405	6667	3783727	112550	971769	-	HHV4_BRLF1	SP1	BRLF1	-	-	Affinity Capture-Western	physical	Chang LK (2005)	PUBMED:16314315	9606	Homo sapiens	10376	Human Herpesvirus 4	Low Throughput	-	-	-	-	BIOGRID	P08047	-	NP_003100|NP_612482|NP_001238754	P03209	-	YP_401674	-	-	-	-	-	-
481406	3783727	6667	971769	112550	HHV4_BRLF1	-	BRLF1	SP1	-	-	Affinity Capture-Western	physical	Chang LK (2005)	PUBMED:16314315	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03209	-	YP_401674	P08047	-	NP_003100|NP_612482|NP_001238754	-	-	-	-	-	-
520047	11200	17494216	116369	3509108	RP11-436C9.1	-	CHEK2	EBNA3A	CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1	-	Affinity Capture-Western	physical	Krauer KG (2004)	PUBMED:14716295	9606	Homo sapiens	10376	Human Herpesvirus 4	Low Throughput	-	-	-	-	BIOGRID	O96017	-	NP_665861|NP_009125|NP_001005735|NP_001244316	-	-	-	-	-	-	-	-	-
544317	3783761	6598	971803	112482	-	-	BYRF1	SMARCB1	-	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS	Affinity Capture-Western	physical	Kwiatkowski B (2004)	PUBMED:15141006	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P12978	-	YP_401644	Q12824	Q9H836	NP_001304875|NP_001007469|NP_003064	-	-	-	-	-	-
545472	3783709	6117	971751	112037	-	-	BKRF1	RPA1	-	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	Affinity Capture-Western	physical	Shen X (2009)	PUBMED:19748364	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P03211	-	YP_401677	P27694	-	NP_002936	-	-	-	-	-	-
592318	3783746	3308	971788	109540	-	-	EBNA-LP	HSPA4	-	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Affinity Capture-Western	physical	Forsman A (2008)	PUBMED:18457437	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P0C732|Q8AZK7	-	YP_401636	P34932	-	NP_002145	-	-	-	-	-	-
592319	3783746	3312	971788	109544	-	-	EBNA-LP	HSPA8	-	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Forsman A (2008)	PUBMED:18457437	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P0C732|Q8AZK7	-	YP_401636	P11142	V9HW22|Q53HF2	NP_694881|NP_006588	-	-	-	-	-	-
592320	3783746	10376	971788	115651	-	-	EBNA-LP	TUBA1B	-	K-ALPHA-1	Affinity Capture-Western	physical	Forsman A (2008)	PUBMED:18457437	10376	Human Herpesvirus 4	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P0C732|Q8AZK7	-	YP_401636	P68363	-	NP_006073	-	-	-	-	-	-
