UniProtKBID	EntrezGeneID	GeneSymbol	Domain	ProteinFamilies
P04217	1	A1BG	Ig-like V-type 1;Ig-like V-type 2;Ig-like V-type 3;Ig-like V-type 4;Ig-like V-type 5	
P01023	2	A2MG		Protease inhibitor I39 (alpha-2-macroglobulin) family
P18440	9	ARY1		Arylamine N-acetyltransferase family
P11245	10	ARY2		Arylamine N-acetyltransferase family
P01011	12	AACT		Serpin family
Q13685	14	AAMP		
Q16613	15	SNAT	N-acetyltransferase	Acetyltransferase family, AANAT subfamily
P49588	16	SYAC		Class-II aminoacyl-tRNA synthetase family
P80404	18	GABT		Class-III pyridoxal-phosphate-dependent aminotransferase family
O95477	19	ABCA1	ABC transporter 1;ABC transporter 2	ABC transporter superfamily, ABCA family
Q9BZC7	20	ABCA2	ABC transporter 1;ABC transporter 2	ABC transporter superfamily, ABCA family
Q99758	21	ABCA3	ABC transporter 1;ABC transporter 2	ABC transporter superfamily, ABCA family
O75027	22	ABCB7	ABC transmembrane type-1;ABC transporter	ABC transporter superfamily, ABCB family, Heavy Metal importer (TC 3.A.1.210) subfamily
Q8NE71	23	ABCF1	ABC transporter 1;ABC transporter 2	ABC transporter superfamily, ABCF family, EF3 subfamily
P78363	24	ABCA4	ABC transporter 1;ABC transporter 2	ABC transporter superfamily, ABCA family
P00519	25	ABL1	SH3;SH2;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, ABL subfamily
P42684	27	ABL2	SH3;SH2;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, ABL subfamily
P16442	28	BGAT		Glycosyltransferase 6 family
Q12979	29	ABR	DH;PH;C2;Rho-GAP	
P09110	30	THIK		Thiolase-like superfamily, Thiolase family
Q13085	31	ACACA	Biotin carboxylation;ATP-grasp;Biotinyl-binding;CoA carboxyltransferase N-terminal;CoA carboxyltransferase C-terminal	
O00763	32	ACACB	Biotin carboxylation;ATP-grasp;Biotinyl-binding;CoA carboxyltransferase N-terminal;CoA carboxyltransferase C-terminal	
P28330	33	ACADL		Acyl-CoA dehydrogenase family
P11310	34	ACADM		Acyl-CoA dehydrogenase family
P16219	35	ACADS		Acyl-CoA dehydrogenase family
P45954	36	ACDSB		Acyl-CoA dehydrogenase family
P49748	37	ACADV		Acyl-CoA dehydrogenase family
P24752	38	THIL		Thiolase-like superfamily, Thiolase family
Q9BWD1	39	THIC		Thiolase-like superfamily, Thiolase family
