BioGRIDInteractionID	EntrezGeneID_InteractorA	EntrezGeneID_InteractorB	BioGRIDID_InteractorA	BioGRIDID_InteractorB	SystematicName_InteractorA	SystematicName_InteractorB	OfficialSymbol_InteractorA	OfficialSymbol_InteractorB	Synonyms_InteractorA	Synonyms_InteractorB	ExperimentalSystem	ExperimentalSystemType	Author	PublicationSource	OrganismID_InteractorA	OrganismName_InteractorA	OrganismID_InteractorB	OrganismName_InteractorB	Throughput	Score	Modification	Qualifications	Tags	SourceDatabase	SWISSPROTAccessions_InteractorA	TREMBLAccessions_InteractorA	REFSEQAccessions_InteractorA	SWISSPROTAccessions_InteractorB	TREMBLAccessions_InteractorB	REFSEQAccessions_InteractorB	OntologyTermIDs	OntologyTermNames	OntologyTermCategories	OntologyTermQualifierIDs	OntologyTermQualifierNames	OntologyTermTypes
470901	155807	10992	1205540	116188	HIV1gp4	-	vpr	SF3B2	-	Cus1|SAP145|SF3B145|SF3b1|SF3b150	Affinity Capture-Western	physical	Terada Y (2006)	PUBMED:16923959	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	Low Throughput	-	-	HIV 1: Protein VPR	-	BIOGRID	-	-	NP_057852	Q13435	-	NP_006833	-	-	-	-	-	-
470902	155807	10992	1205540	116188	HIV1gp4	-	vpr	SF3B2	-	Cus1|SAP145|SF3B145|SF3b1|SF3b150	Two-hybrid	physical	Terada Y (2006)	PUBMED:16923959	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	Low Throughput	-	-	HIV 1: Protein VPR	-	BIOGRID	-	-	NP_057852	Q13435	-	NP_006833	-	-	-	-	-	-
470903	155807	10992	1205540	116188	HIV1gp4	-	vpr	SF3B2	-	Cus1|SAP145|SF3B145|SF3b1|SF3b150	Reconstituted Complex	physical	Terada Y (2006)	PUBMED:16923959	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	Low Throughput	-	-	HIV 1: Protein VPR	-	BIOGRID	-	-	NP_057852	Q13435	-	NP_006833	-	-	-	-	-	-
470905	10992	155807	116188	1205540	-	HIV1gp4	SF3B2	vpr	Cus1|SAP145|SF3B145|SF3b1|SF3b150	-	Reconstituted Complex	physical	Terada Y (2006)	PUBMED:16923959	9606	Homo sapiens	11676	Human Immunodeficiency Virus 1	Low Throughput	-	-	HIV 1: Protein VPR	-	BIOGRID	Q13435	-	NP_006833	-	-	NP_057852	-	-	-	-	-	-
470985	155871	904	1205541	107343	HIV1gp5	-	tat	CCNT1	-	CCNT|CYCT1|HIVE1	Affinity Capture-Western	physical	Agbottah E (2006)	PUBMED:16893449	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	P04608	-	NP_057853	O60563	A8K4M5	NP_001264771|NP_001231	-	-	-	-	-	-
470986	155871	6597	1205541	112481	HIV1gp5	-	tat	SMARCA4	-	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	Affinity Capture-Western	physical	Agbottah E (2006)	PUBMED:16893449	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	P04608	-	NP_057853	P51532	A7E2E1|Q9HBD4|B3KNW7	NP_003063|NP_001122319|NP_001122318|NP_001122317|NP_001122316|NP_001122320|NP_001122321	-	-	-	-	-	-
470987	155871	6597	1205541	112481	HIV1gp5	-	tat	SMARCA4	-	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b	Reconstituted Complex	physical	Agbottah E (2006)	PUBMED:16893449	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	P04608	-	NP_057853	P51532	A7E2E1|Q9HBD4|B3KNW7	NP_003063|NP_001122319|NP_001122318|NP_001122317|NP_001122316|NP_001122320|NP_001122321	-	-	-	-	-	-
470988	155871	6598	1205541	112482	HIV1gp5	-	tat	SMARCB1	-	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS	Affinity Capture-Western	physical	Ariumi Y (2006)	PUBMED:16889668	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	P04608	-	NP_057853	Q12824	Q9H836	NP_001304875|NP_001007469|NP_003064	-	-	-	-	-	-
470989	6598	155871	112482	1205541	-	HIV1gp5	SMARCB1	tat	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS	-	Affinity Capture-Western	physical	Ariumi Y (2006)	PUBMED:16889668	9606	Homo sapiens	11676	Human Immunodeficiency Virus 1	Low Throughput	-	-	HIV 1: Protein Tat	-	BIOGRID	Q12824	Q9H836	NP_001304875|NP_001007469|NP_003064	P04608	-	NP_057853	-	-	-	-	-	-
478314	155871	904	1205541	107343	HIV1gp5	-	tat	CCNT1	-	CCNT|CYCT1|HIVE1	Reconstituted Complex	physical	Gautier VW (2009)	PUBMED:19454010	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	Low Throughput	-	-	HIV 1: Protein TAT|This interaction was only shown in an in vitro GST pull-down experiment involving various salt washes followed by Western-blotting analysis.  It was not detected in the GST pull-down followed by mass spectrometric analysis.	-	BIOGRID	P04608	-	NP_057853	O60563	A8K4M5	NP_001264771|NP_001231	-	-	-	-	-	-
478315	155871	11091	1205541	116272	HIV1gp5	-	tat	WDR5	-	BIG-3|CFAP89|SWD3	Reconstituted Complex	physical	Gautier VW (2009)	PUBMED:19454010	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	High Throughput|Low Throughput	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.|Low Throughput: An in vitro GST-Tat pull-down assay was carried out using Jurkat cell nuclear extracts.   Various salt washes were used followed by Western-blotting analysis to confirm the mass spec identification of selected Tat-interacting proteins.	-	BIOGRID	P04608	-	NP_057853	P61964	-	NP_060058|NP_438172	-	-	-	-	-	-
478316	155871	11198	1205541	116367	HIV1gp5	-	tat	SUPT16H	-	CDC68|FACTP140|SPT16/CDC68	Reconstituted Complex	physical	Gautier VW (2009)	PUBMED:19454010	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	High Throughput|Low Throughput	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.|Low Throughput: An in vitro GST-Tat pull-down assay was carried out using Jurkat cell nuclear extracts.   Various salt washes were used followed by Western-blotting analysis to confirm the mass spec identification of selected Tat-interacting proteins.	-	BIOGRID	P04608	-	NP_057853	Q9Y5B9	-	NP_009123	-	-	-	-	-	-
478317	155871	86	1205541	106601	HIV1gp5	-	tat	ACTL6A	-	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	Reconstituted Complex	physical	Gautier VW (2009)	PUBMED:19454010	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	High Throughput|Low Throughput	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.|Low Throughput: An in vitro GST-Tat pull-down assay was carried out using Jurkat cell nuclear extracts.   Various salt washes were used followed by Western-blotting analysis to confirm the mass spec identification of selected Tat-interacting proteins.	-	BIOGRID	P04608	-	NP_057853	O96019	-	NP_829888|NP_817126|NP_004292	-	-	-	-	-	-
478318	155871	8467	1205541	114045	HIV1gp5	-	tat	SMARCA5	-	ISWI|SNF2H|WCRF135|hISWI|hSNF2H	Reconstituted Complex	physical	Gautier VW (2009)	PUBMED:19454010	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	High Throughput|Low Throughput	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.|Low Throughput: An in vitro GST-Tat pull-down assay was carried out using Jurkat cell nuclear extracts.   Various salt washes were used followed by Western-blotting analysis to confirm the mass spec identification of selected Tat-interacting proteins.	-	BIOGRID	P04608	-	NP_057853	O60264	-	NP_003592	-	-	-	-	-	-
478319	155871	3065	1205541	109315	HIV1gp5	RP4-811H24.2	tat	HDAC1	-	GON-10|HD1|RPD3|RPD3L1	Reconstituted Complex	physical	Gautier VW (2009)	PUBMED:19454010	11676	Human Immunodeficiency Virus 1	9606	Homo sapiens	High Throughput|Low Throughput	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.|Low Throughput: An in vitro GST-Tat pull-down assay was carried out using Jurkat cell nuclear extracts.   Various salt washes were used followed by Western-blotting analysis to confirm the mass spec identification of selected Tat-interacting proteins.	-	BIOGRID	P04608	-	NP_057853	Q13547	Q6IT96	NP_004955	-	-	-	-	-	-
