Entry	Entrez ID	Entry name	Reactome
P04217	1	A1BG_HUMAN	R-HSA-114608;R-HSA-6798695;
P01023	2	A2MG_HUMAN	R-HSA-114608;R-HSA-140837;R-HSA-1474228;R-HSA-194840;R-HSA-8963896;
P18440	9	ARY1_HUMAN	R-HSA-156582;
P11245	10	ARY2_HUMAN	R-HSA-156582;
P01011	12	AACT_HUMAN	R-HSA-114608;R-HSA-6798695;
Q13685	14	AAMP_HUMAN	
Q16613	15	SNAT_HUMAN	R-HSA-209931;
P49588	16	SYAC_HUMAN	R-HSA-379716;
P80404	18	GABT_HUMAN	R-HSA-916853;
O95477	19	ABCA1_HUMAN	R-HSA-1989781;R-HSA-5682113;R-HSA-8963896;R-HSA-9029569;
Q9BZC7	20	ABCA2_HUMAN	R-HSA-1369062;
Q99758	21	ABCA3_HUMAN	R-HSA-1369062;R-HSA-5683678;R-HSA-5683826;R-HSA-5688399;
O75027	22	ABCB7_HUMAN	R-HSA-1369007;R-HSA-2564830;
Q8NE71	23	ABCF1_HUMAN	R-HSA-382556;
P78363	24	ABCA4_HUMAN	R-HSA-2453864;R-HSA-2453902;R-HSA-382556;
P00519	25	ABL1_HUMAN	R-HSA-2029482;R-HSA-428890;R-HSA-525793;R-HSA-5663213;R-HSA-5685938;R-HSA-5693565;R-HSA-69231;R-HSA-8939236;R-HSA-8940973;R-HSA-983231;
P42684	27	ABL2_HUMAN	R-HSA-428890;
P16442	28	BGAT_HUMAN	R-HSA-9033807;
Q12979	29	ABR_HUMAN	R-HSA-193648;R-HSA-194840;R-HSA-416482;
P09110	30	THIK_HUMAN	R-HSA-2046106;R-HSA-390247;R-HSA-6798695;R-HSA-9033241;R-HSA-9033500;
Q13085	31	ACACA_HUMAN	R-HSA-163765;R-HSA-196780;R-HSA-200425;R-HSA-2426168;R-HSA-3371599;R-HSA-75105;
O00763	32	ACACB_HUMAN	R-HSA-163765;R-HSA-196780;R-HSA-200425;R-HSA-2426168;
P28330	33	ACADL_HUMAN	R-HSA-77285;R-HSA-77288;R-HSA-77310;
P11310	34	ACADM_HUMAN	R-HSA-1989781;R-HSA-77288;R-HSA-77346;R-HSA-77348;
P16219	35	ACADS_HUMAN	R-HSA-77350;R-HSA-77352;
P45954	36	ACDSB_HUMAN	R-HSA-70895;
P49748	37	ACADV_HUMAN	R-HSA-381038;R-HSA-77305;
P24752	38	THIL_HUMAN	R-HSA-70895;R-HSA-77108;R-HSA-77111;
Q9BWD1	39	THIC_HUMAN	R-HSA-191273;
Q16515	40	ASIC2_HUMAN	R-HSA-2672351;
P78348	41	ASIC1_HUMAN	R-HSA-2672351;
P22303	43	ACES_HUMAN	R-HSA-112311;R-HSA-1483191;R-HSA-422085;
P53396	47	ACLY_HUMAN	R-HSA-163765;R-HSA-6798695;R-HSA-75105;
P21399	48	ACOC_HUMAN	R-HSA-917937;
P10323	49	ACRO_HUMAN	R-HSA-1300645;
Q99798	50	ACON_HUMAN	R-HSA-1268020;R-HSA-71403;
Q15067	51	ACOX1_HUMAN	R-HSA-1989781;R-HSA-2046106;R-HSA-390247;R-HSA-9033241;R-HSA-9033500;
P24666	52	PPAC_HUMAN	
P11117	53	PPAL_HUMAN	
P13686	54	PPA5_HUMAN	R-HSA-196843;
P15309	55	PPAP_HUMAN	R-HSA-6798695;
P68133	58	ACTS_HUMAN	R-HSA-390522;
P62736	59	ACTA_HUMAN	R-HSA-445355;R-HSA-9013695;
P60709	60	ACTB_HUMAN	R-HSA-1445148;R-HSA-190873;R-HSA-196025;R-HSA-2029482;R-HSA-3214847;R-HSA-389957;R-HSA-390450;R-HSA-3928662;R-HSA-3928665;R-HSA-418990;R-HSA-437239;R-HSA-4420097;R-HSA-445095;R-HSA-446353;R-HSA-5250924;R-HSA-5626467;R-HSA-5663213;R-HSA-5663220;R-HSA-5674135;R-HSA-5689603;R-HSA-5696394;R-HSA-6802946;R-HSA-6802948;R-HSA-6802952;R-HSA-6802955;R-HSA-8856828;R-HSA-9649948;R-HSA-983231;
P68032	70	ACTC_HUMAN	R-HSA-390522;
P63261	71	ACTG_HUMAN	R-HSA-1445148;R-HSA-190873;R-HSA-196025;R-HSA-2029482;R-HSA-3928662;R-HSA-3928665;R-HSA-418990;R-HSA-437239;R-HSA-4420097;R-HSA-445095;R-HSA-446353;R-HSA-5626467;R-HSA-5663213;R-HSA-5663220;R-HSA-5674135;R-HSA-6802946;R-HSA-6802948;R-HSA-6802952;R-HSA-6802955;R-HSA-8856828;R-HSA-9649948;
P63267	72	ACTH_HUMAN	R-HSA-445355;
O43707	81	ACTN4_HUMAN	R-HSA-114608;R-HSA-373753;
O96019	86	ACL6A_HUMAN	R-HSA-3214847;R-HSA-3214858;R-HSA-5689603;R-HSA-5696394;R-HSA-8939243;
P12814	87	ACTN1_HUMAN	R-HSA-114608;R-HSA-3000170;R-HSA-373753;R-HSA-446388;
P35609	88	ACTN2_HUMAN	R-HSA-114608;R-HSA-373753;R-HSA-390522;R-HSA-438066;R-HSA-442982;R-HSA-5673001;R-HSA-9609736;R-HSA-9617324;R-HSA-9620244;
Q08043	89	ACTN3_HUMAN	R-HSA-373753;R-HSA-390522;
Q04771	90	ACVR1_HUMAN	
P36896	91	ACV1B_HUMAN	R-HSA-1181150;R-HSA-1433617;R-HSA-1502540;
P27037	92	AVR2A_HUMAN	R-HSA-1181150;R-HSA-1433617;R-HSA-1502540;R-HSA-201451;
Q13705	93	AVR2B_HUMAN	R-HSA-1181150;R-HSA-1433617;R-HSA-1502540;R-HSA-201451;
P37023	94	ACVL1_HUMAN	R-HSA-201451;
Q03154	95	ACY1_HUMAN	R-HSA-5423646;R-HSA-5579007;
P07311	97	ACYP1_HUMAN	
P14621	98	ACYP2_HUMAN	
P00813	100	ADA_HUMAN	R-HSA-74217;
P78325	101	ADAM8_HUMAN	R-HSA-1474228;R-HSA-6798695;
O14672	102	ADA10_HUMAN	R-HSA-1442490;R-HSA-1474228;R-HSA-177929;R-HSA-2122948;R-HSA-2644606;R-HSA-2660826;R-HSA-2691232;R-HSA-2894862;R-HSA-2979096;R-HSA-381426;R-HSA-3928665;R-HSA-6798695;R-HSA-8957275;R-HSA-9013507;R-HSA-9013700;R-HSA-977225;
P55265	103	DSRAD_HUMAN	R-HSA-75102;R-HSA-77042;R-HSA-909733;
P78563	104	RED1_HUMAN	R-HSA-75102;R-HSA-77042;
Q9NS39	105	RED2_HUMAN	
Q08828	107	ADCY1_HUMAN	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-442720;R-HSA-5610787;
Q08462	108	ADCY2_HUMAN	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-5610787;
O60266	109	ADCY3_HUMAN	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-5610787;
O95622	111	ADCY5_HUMAN	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-381676;R-HSA-400042;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-5610787;
O43306	112	ADCY6_HUMAN	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-381676;R-HSA-400042;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-5610787;
P51828	113	ADCY7_HUMAN	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-5610787;
P40145	114	ADCY8_HUMAN	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-381676;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-442720;R-HSA-5610787;
O60503	115	ADCY9_HUMAN	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-5610787;
P18509	116	PACA_HUMAN	R-HSA-187024;R-HSA-418555;R-HSA-420092;
P41586	117	PACR_HUMAN	R-HSA-187024;R-HSA-418555;R-HSA-420092;
P35611	118	ADDA_HUMAN	R-HSA-264870;R-HSA-381038;R-HSA-5223345;
P35612	119	ADDB_HUMAN	R-HSA-5223345;
Q9UEY8	120	ADDG_HUMAN	R-HSA-5223345;
Q99541	123	PLIN2_HUMAN	R-HSA-1989781;R-HSA-9613354;R-HSA-9613829;R-HSA-9615710;
P07327	124	ADH1A_HUMAN	R-HSA-2161541;R-HSA-5365859;R-HSA-71384;
P00325	125	ADH1B_HUMAN	R-HSA-71384;
P00326	126	ADH1G_HUMAN	R-HSA-5365859;R-HSA-71384;
P08319	127	ADH4_HUMAN	R-HSA-5365859;R-HSA-71384;
P11766	128	ADHX_HUMAN	R-HSA-71384;
P28332	130	ADH6_HUMAN	R-HSA-71384;
P40394	131	ADH7_HUMAN	R-HSA-71384;
P55263	132	ADK_HUMAN	R-HSA-74217;
P35318	133	ADML_HUMAN	R-HSA-418555;R-HSA-419812;
P30542	134	AA1R_HUMAN	R-HSA-417973;R-HSA-418594;
P29274	135	AA2AR_HUMAN	R-HSA-187024;R-HSA-417973;R-HSA-418555;R-HSA-5683826;
P29275	136	AA2BR_HUMAN	R-HSA-417973;R-HSA-418555;R-HSA-5683826;
P0DMS8	140	AA3R_HUMAN	R-HSA-417973;R-HSA-418594;
P54922	141	ADPRH_HUMAN	
P09874	142	PARP1_HUMAN	R-HSA-110362;R-HSA-2173795;R-HSA-3108214;R-HSA-5685939;R-HSA-5696394;R-HSA-5696395;R-HSA-5696400;
Q9UKK3	143	PARP4_HUMAN	R-HSA-197264;
P25100	146	ADA1D_HUMAN	R-HSA-390696;R-HSA-416476;R-HSA-416482;
P35368	147	ADA1B_HUMAN	R-HSA-390696;R-HSA-416476;R-HSA-416482;
P35348	148	ADA1A_HUMAN	R-HSA-390696;R-HSA-416476;R-HSA-416482;
P08913	150	ADA2A_HUMAN	R-HSA-390696;R-HSA-392023;R-HSA-400042;R-HSA-418594;R-HSA-418597;R-HSA-5683826;
P18089	151	ADA2B_HUMAN	R-HSA-390696;R-HSA-392023;R-HSA-418594;R-HSA-418597;
P18825	152	ADA2C_HUMAN	R-HSA-390696;R-HSA-392023;R-HSA-400042;R-HSA-418594;R-HSA-418597;R-HSA-5683826;
P08588	153	ADRB1_HUMAN	R-HSA-390696;R-HSA-418555;
P07550	154	ADRB2_HUMAN	R-HSA-390696;R-HSA-418555;R-HSA-5689880;R-HSA-8856825;R-HSA-8856828;
P13945	155	ADRB3_HUMAN	R-HSA-390696;R-HSA-418555;
P25098	156	ARBK1_HUMAN	R-HSA-111933;R-HSA-416476;R-HSA-418555;R-HSA-5635838;R-HSA-8856825;
P35626	157	ARBK2_HUMAN	R-HSA-418555;R-HSA-8856825;
P30566	158	PUR8_HUMAN	R-HSA-73817;
P30520	159	PURA2_HUMAN	R-HSA-73817;
O95782	160	AP2A1_HUMAN	R-HSA-167590;R-HSA-177504;R-HSA-182218;R-HSA-2132295;R-HSA-3928665;R-HSA-416993;R-HSA-437239;R-HSA-5099900;R-HSA-5140745;R-HSA-8856825;R-HSA-8856828;R-HSA-8866427;R-HSA-8964038;
O94973	161	AP2A2_HUMAN	R-HSA-167590;R-HSA-177504;R-HSA-182218;R-HSA-2132295;R-HSA-3928665;R-HSA-416993;R-HSA-437239;R-HSA-5099900;R-HSA-5140745;R-HSA-6798695;R-HSA-8856825;R-HSA-8856828;R-HSA-8866427;R-HSA-8964038;
Q10567	162	AP1B1_HUMAN	R-HSA-164940;R-HSA-2132295;R-HSA-432720;R-HSA-432722;
P63010	163	AP2B1_HUMAN	R-HSA-167590;R-HSA-177504;R-HSA-182218;R-HSA-2132295;R-HSA-3928665;R-HSA-416993;R-HSA-437239;R-HSA-5099900;R-HSA-5140745;R-HSA-8856825;R-HSA-8856828;R-HSA-8866427;R-HSA-8964038;
O43747	164	AP1G1_HUMAN	R-HSA-164940;R-HSA-2132295;R-HSA-432720;R-HSA-432722;
Q8IUX7	165	AEBP1_HUMAN	
Q08117	166	TLE5_HUMAN	R-HSA-4641265;
P02771	174	FETA_HUMAN	R-HSA-381426;R-HSA-8957275;
P20933	175	ASPG_HUMAN	R-HSA-6798695;
P16112	176	PGCA_HUMAN	R-HSA-1474228;R-HSA-2022854;R-HSA-2022857;R-HSA-3000178;R-HSA-3656225;R-HSA-3656243;R-HSA-3656244;
